v_new,v_old,count,fuel_old,fuel_new,area_ha
33,14,17,BN01,SV02,1.53
3,25,16,PL07,PCH3,1.44
14,25,16,PL07,BN01,1.44
20,2,16,PCH2,PL02,1.44
20,18,16,BN05,PL02,1.44
34,1,16,PCH1,SV03,1.44
19,9,15,MT04,PL01,1.35
26,20,15,PL02,PL08,1.35
27,22,15,PL04,PL09,1.35
2,8,14,MT03,PCH2,1.26
12,4,14,PCH4,MT07,1.26
17,7,14,MT02,BN04,1.26
17,18,14,BN05,BN04,1.26
18,18,14,BN05,BN05,1.26
23,13,14,MT08,PL05,1.26
25,21,14,PL03,PL07,1.26
29,28,14,PL10,PL11,1.26
32,6,14,MT01,SV01,1.26
16,4,13,PCH4,BN03,1.17
19,30,13,DX01,PL01,1.17
20,12,13,MT07,PL02,1.17
21,9,13,MT04,PL03,1.17
22,25,13,PL07,PL04,1.17
27,12,13,MT07,PL09,1.17
28,13,13,MT08,PL10,1.17
17,24,12,PL06,BN04,1.08
21,30,12,DX01,PL03,1.08
22,19,12,PL01,PL04,1.08
22,21,12,PL03,PL04,1.08
23,3,12,PCH3,PL05,1.08
25,19,12,PL01,PL07,1.08
27,8,12,MT03,PL09,1.08
31,27,12,PL09,DX02,1.08
20,11,11,MT06,PL02,0.99
27,18,11,BN05,PL09,0.99
29,26,11,PL08,PL11,0.99
31,8,11,MT03,DX02,0.99
32,27,11,PL09,SV01,0.99
34,23,11,PL05,SV03,0.99
3,34,10,SV03,PCH3,0.9
20,23,10,PL05,PL02,0.9
30,1,10,PCH1,DX01,0.9
34,2,10,PCH2,SV03,0.9
3,4,9,PCH4,PCH3,0.81
12,31,9,DX02,MT07,0.81
18,22,9,PL04,BN05,0.81
18,24,9,PL06,BN05,0.81
19,8,9,MT03,PL01,0.81
20,6,9,MT01,PL02,0.81
20,8,9,MT03,PL02,0.81
20,32,9,SV01,PL02,0.81
22,17,9,BN04,PL04,0.81
25,20,9,PL02,PL07,0.81
29,22,9,PL04,PL11,0.81
31,4,9,PCH4,DX02,0.81
2,27,8,PL09,PCH2,0.72
3,23,8,PL05,PCH3,0.72
3,30,8,DX01,PCH3,0.72
17,33,8,SV02,BN04,0.72
18,21,8,PL03,BN05,0.72
20,3,8,PCH3,PL02,0.72
25,25,8,PL07,PL07,0.72
27,2,8,PCH2,PL09,0.72
31,30,8,DX01,DX02,0.72
3,26,7,PL08,PCH3,0.63
3,27,7,PL09,PCH3,0.63
4,8,7,MT03,PCH4,0.63
4,20,7,PL02,PCH4,0.63
4,24,7,PL06,PCH4,0.63
19,13,7,MT08,PL01,0.63
22,29,7,PL11,PL04,0.63
23,9,7,MT04,PL05,0.63
29,1,7,PCH1,PL11,0.63
31,23,7,PL05,DX02,0.63
32,20,7,PL02,SV01,0.63
34,24,7,PL06,SV03,0.63
34,32,7,SV01,SV03,0.63
2,31,6,DX02,PCH2,0.54
3,8,6,MT03,PCH3,0.54
17,6,6,MT01,BN04,0.54
17,29,6,PL11,BN04,0.54
20,1,6,PCH1,PL02,0.54
22,20,6,PL02,PL04,0.54
22,22,6,PL04,PL04,0.54
26,26,6,PL08,PL08,0.54
30,17,6,BN04,DX01,0.54
30,29,6,PL11,DX01,0.54
31,28,6,PL10,DX02,0.54
2,13,5,MT08,PCH2,0.45
3,18,5,BN05,PCH3,0.45
3,22,5,PL04,PCH3,0.45
4,32,5,SV01,PCH4,0.45
12,9,5,MT04,MT07,0.45
14,13,5,MT08,BN01,0.45
14,31,5,DX02,BN01,0.45
17,20,5,PL02,BN04,0.45
17,25,5,PL07,BN04,0.45
17,34,5,SV03,BN04,0.45
18,20,5,PL02,BN05,0.45
31,26,5,PL08,DX02,0.45
32,22,5,PL04,SV01,0.45
2,28,4,PL10,PCH2,0.36
3,12,4,MT07,PCH3,0.36
4,26,4,PL08,PCH4,0.36
9,34,4,SV03,MT04,0.36
17,22,4,PL04,BN04,0.36
19,4,4,PCH4,PL01,0.36
19,12,4,MT07,PL01,0.36
19,14,4,BN01,PL01,0.36
19,26,4,PL08,PL01,0.36
23,30,4,DX01,PL05,0.36
24,14,4,BN01,PL06,0.36
25,29,4,PL11,PL07,0.36
25,34,4,SV03,PL07,0.36
27,13,4,MT08,PL09,0.36
29,6,4,MT01,PL11,0.36
29,12,4,MT07,PL11,0.36
29,23,4,PL05,PL11,0.36
29,34,4,SV03,PL11,0.36
4,4,3,PCH4,PCH4,0.27
4,12,3,MT07,PCH4,0.27
4,25,3,PL07,PCH4,0.27
16,14,3,BN01,BN03,0.27
17,2,3,PCH2,BN04,0.27
17,27,3,PL09,BN04,0.27
18,12,3,MT07,BN05,0.27
18,27,3,PL09,BN05,0.27
20,4,3,PCH4,PL02,0.27
22,24,3,PL06,PL04,0.27
23,8,3,MT03,PL05,0.27
26,23,3,PL05,PL08,0.27
26,24,3,PL06,PL08,0.27
27,3,3,PCH3,PL09,0.27
28,8,3,MT03,PL10,0.27
30,30,3,DX01,DX01,0.27
31,18,3,BN05,DX02,0.27
32,8,3,MT03,SV01,0.27
32,21,3,PL03,SV01,0.27
2,9,2,MT04,PCH2,0.18
3,9,2,MT04,PCH3,0.18
4,18,2,BN05,PCH4,0.18
4,21,2,PL03,PCH4,0.18
4,29,2,PL11,PCH4,0.18
4,30,2,DX01,PCH4,0.18
8,16,2,BN03,MT03,0.18
9,1,2,PCH1,MT04,0.18
9,2,2,PCH2,MT04,0.18
9,6,2,MT01,MT04,0.18
12,32,2,SV01,MT07,0.18
16,31,2,DX02,BN03,0.18
17,8,2,MT03,BN04,0.18
17,23,2,PL05,BN04,0.18
17,32,2,SV01,BN04,0.18
18,34,2,SV03,BN05,0.18
20,13,2,MT08,PL02,0.18
20,30,2,DX01,PL02,0.18
24,9,2,MT04,PL06,0.18
25,6,2,MT01,PL07,0.18
25,24,2,PL06,PL07,0.18
26,27,2,PL09,PL08,0.18
27,23,2,PL05,PL09,0.18
29,25,2,PL07,PL11,0.18
30,24,2,PL06,DX01,0.18
31,9,2,MT04,DX02,0.18
31,12,2,MT07,DX02,0.18
31,13,2,MT08,DX02,0.18
31,14,2,BN01,DX02,0.18
32,23,2,PL05,SV01,0.18
32,26,2,PL08,SV01,0.18
34,11,2,MT06,SV03,0.18
34,26,2,PL08,SV03,0.18
34,27,2,PL09,SV03,0.18
2,18,1,BN05,PCH2,0.09
3,14,1,BN01,PCH3,0.09
3,24,1,PL06,PCH3,0.09
3,28,1,PL10,PCH3,0.09
4,6,1,MT01,PCH4,0.09
4,13,1,MT08,PCH4,0.09
4,22,1,PL04,PCH4,0.09
4,28,1,PL10,PCH4,0.09
8,6,1,MT01,MT03,0.09
8,19,1,PL01,MT03,0.09
9,11,1,MT06,MT04,0.09
9,20,1,PL02,MT04,0.09
9,22,1,PL04,MT04,0.09
9,27,1,PL09,MT04,0.09
17,3,1,PCH3,BN04,0.09
17,13,1,MT08,BN04,0.09
17,14,1,BN01,BN04,0.09
17,28,1,PL10,BN04,0.09
17,30,1,DX01,BN04,0.09
18,6,1,MT01,BN05,0.09
